"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 19 12:05:35 GMT 2022","Tue Jul 19 12:05:35 GMT 2022","256","","SeleniumTest","","SeleniumTest","TestInput","TestInput()",""
"broken","Tue Jul 19 12:05:35 GMT 2022","Tue Jul 19 12:05:35 GMT 2022","269","","SeleniumTest","","SeleniumTest","AlertTest","AlertTest()",""
"broken","Tue Jul 19 12:05:35 GMT 2022","Tue Jul 19 12:05:35 GMT 2022","249","","SeleniumTest","","SeleniumTest","NamecardTest","NamecardTest()",""
"broken","Tue Jul 19 12:05:28 GMT 2022","Tue Jul 19 12:05:34 GMT 2022","5730","","SeleniumTest","","SeleniumTest","SelectDayTest","SelectDayTest()",""
"broken","Tue Jul 19 12:05:34 GMT 2022","Tue Jul 19 12:05:35 GMT 2022","311","","SeleniumTest","","SeleniumTest","TableTest","TableTest()",""
